id,name,description,image
1,"Short Tailed Weasel","Small weasels also known as ermine.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/3895DD36-1DD8-B71B-0BAC5CE03E9838E5.jpg?width=465&quality=90&mode=crop
2,"Yellow-bellied Marmot","Rodents that hibernate for eight months and are seen climbing around rocks.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/36DAB1BF-1DD8-B71B-0BD6F96459B4A666.jpg?width=465&quality=90&mode=crop
3,"Red Fox","Smallest of the three canid species found in the park.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/387534AE-1DD8-B71B-0BBD9E0ECC020D35.jpg?width=465&quality=90&mode=crop
4,Bison,"Yellowstone bison exhibit behavior like their ancient ancestors.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/41AB5A70-1DD8-B71B-0BA44DC1D8BDE013.jpg?width=950&quality=90&mode=crop
5,Elk,"Elk are the most abundant large mammal found in Yellowstone.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/41860828-1DD8-B71B-0B9296FEBFFF0D90.jpg?width=465&quality=90&mode=crop
6,"Mountain Goat","Mountain goats are considered non-native species.",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/397EC5ED-1DD8-B71B-0BD4EC53A6A1F8D9.jpg?width=307&quality=90&mode=crop
9,"Lochness Monster","Big scary boat sinker",http://ichef.bbci.co.uk/news/976/cpsprodpb/0C36/production/_98762130_lochness1.jpg
11,giraffe,"tall neck fighters",https://www.africa-wildlife-detective.com/images/giraffes-fighting-e.jpg
12,Bobcat,"One of the elusive cats of yellowstone",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/41F19631-1DD8-B71B-0B33B9A26B0783AF.jpg?width=307&quality=90&mode=crop
13,"Black Bear","Commonly seen in Yellowstone",https://www.nps.gov/common/uploads/grid_builder/yell/crop16_9/419891EB-1DD8-B71B-0BCD6C888FD32498.jpg?width=307&quality=90&mode=crop
