id,plant,location,blooming_period,image 
2,"Marsh marigold","Wet meadows, parkwide & Beartooth Mountains","May–July","https://previews.123rf.com/images/voltan1/voltan11205/voltan1120500124/13836048-marsh-marigold-caltha-palustris-in-the-swamp.jpg"
3,"Northern bedstraw","Northern range","July–August","http://www.minnesotawildflowers.info/udata/r9ndp23q/white/northern-bedstraw-100_8682.jpg"
4,"White geranium","Moist areas, parkwide","July–August","http://cdn.shopify.com/s/files/1/1537/5553/products/22654_3f94a00d-f5ae-438c-a9ab-c150f0491f97_grande.jpg?v=1486448703"
5,"Phlox","Parkwide","May–July","https://www.gardendesign.com/pictures/images/900x705Max/dream-team-s-portland-garden_6/garden-phlox-purple-phlox-shutterstock-com_12822.jpg"
6,"Wild strawberry","Parkwide","May–July","https://i.etsystatic.com/13735725/r/il/49583a/1242836099/il_794xN.1242836099_c1lg.jpg"
7,"Yampa","Meadows, parkwide","July–August","https://3apq7g38q3kw2yn3fx4bojii-wpengine.netdna-ssl.com/wp-content/uploads/2017/05/2534438617_ccd227efcb_o_hemlock-750x500.jpg"
8,"Cow parsnip","Wet areas, parkwide","July–August","http://preparednessadvice.com/wp-content/uploads/2015/08/cow-parsnip.jpg"
9,"Evening primrose","Gardiner/Mammoth areas","May–June","https://www.outsidepride.com/images/products/detail/wildflowers/eveningprimrose.jpg"
10,"Ladies tresses","Thermal areas, meadows","July–August","https://i.pinimg.com/originals/bc/24/12/bc2412bd22dca5b259074ab2ad0b73b6.jpg"
11,"Woodland star","Meadows, parkwide","May–June","https://live.staticflickr.com/4540/38567960482_02c2944770_b.jpg"
12,"Yarrow","Parkwide","June–September","https://d2v9y0dukr6mq2.cloudfront.net/video/thumbnail/E_u2TU1Ix/achillea-millefolium-yarrow-flower-close-up-yarrow-is-a-medicinal-and-ornamental-herb-and-plant-cultivated-by-many-plant-nurseries-it-is-planted-in-gardens-and-natural-landscaping-settings-of_brlg41oeo_thumbnail-full01.png"
13,"Pussytoes","Parkwide","June–July","https://cdn.shopify.com/s/files/1/1008/4432/products/Antennaria_Pussytoes_White.JPG?v=1479871198"
14,"Spring beauty","Parkwide","April–June","https://www.ediblewildfood.com/images/spring-beauty-pictures/spring-beauty-flowers.jpg"
15,"Bistort","Meadows, parkwide & Beartooth Mountains","June–August","https://cdn.shopify.com/s/files/1/1186/5156/products/Bistort_39ed7fdb-4c21-4f45-bcc2-e45a5b6486cd_large.jpeg?v=1456915032"
